time,RegionName,value
2009-12-01,43221,219300.0
2009-12-01,77840,144800.0
2009-12-01,78748,186400.0
2009-12-01,78626,150000.0
2009-12-01,37129,148200.0
2009-12-01,43214,200600.0
2009-12-01,80910,131100.0
2009-12-01,70663,101700.0
2009-12-01,78728,177500.0
2009-12-01,75287,237900.0
2009-12-01,58078,171100.0
2009-12-01,76108,109300.0
2010-01-01,99301,138800.0
2010-01-01,76051,227400.0
2010-01-01,78210,71200.0
2010-01-01,76039,151100.0
2010-01-01,75028,226000.0
2010-01-01,15217,210700.0
2010-01-01,75035,239300.0
2010-01-01,2453,382200.0
2010-01-01,78602,124700.0
2010-01-01,76116,124300.0
2010-01-01,76021,170600.0
2010-01-01,75019,272000.0
2010-01-01,76040,143600.0
2010-01-01,43221,219200.0
2010-01-01,77840,145500.0
2010-01-01,78748,186600.0
2010-01-01,78626,149500.0
2010-01-01,37129,148400.0
2010-01-01,43214,200600.0
2010-01-01,80910,131100.0
2010-01-01,70663,101300.0
2010-01-01,78728,177900.0
2010-01-01,75287,238500.0
2010-01-01,58078,171900.0
2010-01-01,76108,108900.0
2010-02-01,99301,139100.0
2010-02-01,76051,227800.0
2010-02-01,78210,71200.0
2010-02-01,76039,151400.0
2010-02-01,75028,226300.0
2010-02-01,15217,211100.0
2010-02-01,75035,239500.0
2010-02-01,2453,383500.0
2010-02-01,78602,124600.0
2010-02-01,76116,124600.0
2010-02-01,76021,171100.0
2010-02-01,75019,272300.0
2010-02-01,76040,144000.0
2010-02-01,43221,219600.0
2010-02-01,77840,145800.0
2010-02-01,78748,186700.0
2010-02-01,78626,149600.0
2010-02-01,37129,148700.0
2010-02-01,43214,200800.0
2010-02-01,80910,131300.0
2010-02-01,70663,101200.0
2010-02-01,78728,178200.0
2010-02-01,75287,239000.0
2010-02-01,58078,172400.0
2010-02-01,76108,109100.0
2010-03-01,99301,140800.0
2010-03-01,76051,228500.0
2010-03-01,78210,71500.0
2010-03-01,76039,151800.0
2010-03-01,75028,226600.0
2010-03-01,15217,212400.0
2010-03-01,75035,240300.0
2010-03-01,2453,383700.0
2010-03-01,78602,124800.0
2010-03-01,76116,124700.0
2010-03-01,76021,170900.0
2010-03-01,75019,270700.0
2010-03-01,76040,144600.0
2010-03-01,43221,219200.0
2010-03-01,77840,145500.0
2010-03-01,78748,187100.0
2010-03-01,78626,149800.0
2010-03-01,37129,148000.0
2010-03-01,43214,200500.0
2010-03-01,80910,130900.0
2010-03-01,70663,101300.0
2010-03-01,78728,178300.0
2010-03-01,75287,238300.0
2010-03-01,58078,172400.0
2010-03-01,76108,109500.0
2010-04-01,99301,145800.0
2010-04-01,76051,230100.0
2010-04-01,78210,72400.0
2010-04-01,76039,152500.0
2010-04-01,75028,226900.0
2010-04-01,15217,213700.0
2010-04-01,75035,241500.0
2010-04-01,2453,382900.0
2010-04-01,78602,125700.0
2010-04-01,76116,124400.0
2010-04-01,76021,170500.0
2010-04-01,75019,267300.0
2010-04-01,76040,145400.0
2010-04-01,43221,219200.0
2010-04-01,77840,145600.0
2010-04-01,78748,187600.0
2010-04-01,78626,149300.0
2010-04-01,37129,147000.0
2010-04-01,43214,200000.0
2010-04-01,80910,130200.0
2010-04-01,70663,102200.0
2010-04-01,78728,178600.0
2010-04-01,75287,237300.0
2010-04-01,58078,172300.0
2010-04-01,76108,109300.0
2010-05-01,99301,151400.0
2010-05-01,76051,231900.0
2010-05-01,78210,72700.0
2010-05-01,76039,153400.0
2010-05-01,75028,227000.0
2010-05-01,15217,213600.0
2010-05-01,75035,242000.0
2010-05-01,2453,382800.0
2010-05-01,78602,126900.0
2010-05-01,76116,123800.0
2010-05-01,76021,170700.0
2010-05-01,75019,264900.0
2010-05-01,76040,146500.0
2010-05-01,43221,220700.0
2010-05-01,77840,146400.0
2010-05-01,78748,187600.0
2010-05-01,78626,148500.0
2010-05-01,37129,146700.0
2010-05-01,43214,200800.0
2010-05-01,80910,130300.0
2010-05-01,70663,103300.0
2010-05-01,78728,178800.0
2010-05-01,75287,237700.0
2010-05-01,58078,171800.0
2010-05-01,76108,108900.0
2010-06-01,99301,154000.0
2010-06-01,76051,232800.0
2010-06-01,78210,72300.0
2010-06-01,76039,154000.0
2010-06-01,75028,227000.0
2010-06-01,15217,212700.0
2010-06-01,75035,241600.0
2010-06-01,2453,385200.0
2010-06-01,78602,127500.0
2010-06-01,76116,122600.0
2010-06-01,76021,171000.0
2010-06-01,75019,264600.0
2010-06-01,76040,146800.0
2010-06-01,43221,222400.0
2010-06-01,77840,147000.0
2010-06-01,78748,187000.0
2010-06-01,78626,148000.0
2010-06-01,37129,147000.0
2010-06-01,43214,201800.0
2010-06-01,80910,130600.0
2010-06-01,70663,103500.0
2010-06-01,78728,178100.0
2010-06-01,75287,239000.0
2010-06-01,58078,170900.0
2010-06-01,76108,108300.0
2010-07-01,99301,156300.0
2010-07-01,76051,233600.0
2010-07-01,78210,71800.0
2010-07-01,76039,154500.0
2010-07-01,75028,227500.0
2010-07-01,15217,212600.0
2010-07-01,75035,241600.0
2010-07-01,2453,388000.0
2010-07-01,78602,127600.0
2010-07-01,76116,121500.0
2010-07-01,76021,171300.0
2010-07-01,75019,263600.0
2010-07-01,76040,146400.0
2010-07-01,43221,222800.0
2010-07-01,77840,147000.0
2010-07-01,78748,186300.0
2010-07-01,78626,148200.0
2010-07-01,37129,146700.0
2010-07-01,43214,201100.0
2010-07-01,80910,130600.0
2010-07-01,70663,103800.0
2010-07-01,78728,177000.0
2010-07-01,75287,239500.0
2010-07-01,58078,170600.0
2010-07-01,76108,107300.0
2010-08-01,99301,157800.0
2010-08-01,76051,234400.0
2010-08-01,78210,71200.0
2010-08-01,76039,154400.0
2010-08-01,75028,227800.0
2010-08-01,15217,212600.0
2010-08-01,75035,242000.0
2010-08-01,2453,390200.0
2010-08-01,78602,127600.0
2010-08-01,76116,120800.0
2010-08-01,76021,171500.0
2010-08-01,75019,262400.0
2010-08-01,76040,145700.0
2010-08-01,43221,222300.0
